tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ENSMUSG00000025916	-	-	ENSMUSG00000025916	Ppp1r42	-	chr1:9958704-9999217	-	-	0	0	0	OK
ENSMUSG00000087199	-	-	ENSMUSG00000087199	Gm15818	-	chr1:9972467-9982447	-	-	0	0	0	OK
ENSMUSG00000073738	-	-	ENSMUSG00000073738	Gm10567	-	chr1:9950251-9952890	-	-	0.706378	0.405177	1.00758	OK
ENSMUSG00000002459	-	-	ENSMUSG00000002459	Rgs20	-	chr1:4899656-5060366	-	-	0.475331	0	1.06648	OK
ENSMUSG00000091665	-	-	ENSMUSG00000091665	Gm17101	-	chr1:5053140-5054728	-	-	0	0	0	OK
ENSMUSG00000091305	-	-	ENSMUSG00000091305	Gm17100	-	chr1:4917108-4917380	-	-	0	0	0	OK
ENSMUSG00000085623	-	-	ENSMUSG00000085623	Gm16041	-	chr1:4960937-4966901	-	-	0.135442	0.0396701	0.231214	OK
ENSMUSG00000088585	-	-	ENSMUSG00000088585	SNORA66	-	chr1:10911750-10911841	-	-	0	0	0	OK
ENSMUSG00000046101	-	-	ENSMUSG00000046101	6030422M02Rik	-	chr1:9898718-9932166	-	-	0.214604	0.0124407	0.416767	OK
ENSMUSG00000051285	-	-	ENSMUSG00000051285	Pcmtd1	-	chr1:7079000-7163707	-	-	12.0337	10.9768	13.0906	OK
ENSMUSG00000025917	-	-	ENSMUSG00000025917	Cops5	-	chr1:10014682-10028208	-	-	53.8015	50.0429	57.5602	OK
ENSMUSG00000051951	-	-	ENSMUSG00000051951	Xkr4	-	chr1:3195981-3661579	-	-	0.368452	0.179658	0.557246	OK
ENSMUSG00000089699	-	-	ENSMUSG00000089699	Gm1992	-	chr1:3456667-3503634	-	-	0	0	0	OK
ENSMUSG00000064969	-	-	ENSMUSG00000064969	U6	-	chr1:12365016-12365123	-	-	0	0	0	OK
ENSMUSG00000066918	-	-	ENSMUSG00000066918	Gm17644	-	chr1:12657643-12663171	-	-	0.0228192	0	0.0684577	OK
ENSMUSG00000042414	-	-	ENSMUSG00000042414	Prdm14	-	chr1:13103537-13117244	-	-	0	0	0	OK
ENSMUSG00000042501	-	-	ENSMUSG00000042501	Cpa6	-	chr1:10314800-10710026	-	-	0.503269	0.243049	0.763488	OK
ENSMUSG00000083422	-	-	ENSMUSG00000083422	Gm15604	-	chr1:10544178-10545634	-	-	0.371991	0.123997	0.619984	OK
ENSMUSG00000065035	-	-	ENSMUSG00000065035	U6	-	chr1:10545634-10545741	-	-	0	0	0	OK
ENSMUSG00000081417	-	-	ENSMUSG00000081417	Gm15603	-	chr1:10685203-10685695	-	-	0	0	0	OK
ENSMUSG00000016918	-	-	ENSMUSG00000016918	Sulf1	-	chr1:12708625-12850452	-	-	15.8181	14.9652	16.671	OK
ENSMUSG00000025900	-	-	ENSMUSG00000025900	Rp1	-	chr1:4334223-4350473	-	-	0.00933808	0	0.0385096	OK
ENSMUSG00000025935	-	-	ENSMUSG00000025935	Tram1	-	chr1:13554782-13579945	-	-	32.8696	30.8937	34.8454	OK
ENSMUSG00000077368	-	-	ENSMUSG00000077368	SNORA17	-	chr1:13764414-13764545	-	-	0	0	0	OK
ENSMUSG00000089358	-	-	ENSMUSG00000089358	7SK	-	chr1:13922458-13922766	-	-	0	0	0	OK
ENSMUSG00000067813	-	-	ENSMUSG00000067813	Xkr9	-	chr1:13658851-13691804	-	-	0.0547601	0	0.16428	OK
ENSMUSG00000025937	-	-	ENSMUSG00000025937	Lactb2	-	chr1:13614925-13650627	-	-	11.4227	9.92197	12.9234	OK
ENSMUSG00000081201	-	-	ENSMUSG00000081201	Smt3h2-ps4	-	chr1:14829949-14830237	-	-	0	0	0	OK
ENSMUSG00000033845	-	-	ENSMUSG00000033845	Mrpl15	-	chr1:4763286-4775820	-	-	99.8992	92.9373	106.861	OK
ENSMUSG00000025930	-	-	ENSMUSG00000025930	Msc	-	chr1:14743426-14746047	-	-	1.15671	0.732829	1.58059	OK
ENSMUSG00000054493	-	-	ENSMUSG00000054493	Gm9947	-	chr1:14745534-14748454	-	-	0.313144	0.139887	0.486401	OK
ENSMUSG00000088159	-	-	ENSMUSG00000088159	SNORA17	-	chr1:15009120-15009240	-	-	0	0	0	OK
ENSMUSG00000082193	-	-	ENSMUSG00000082193	Rpl5-ps1	-	chr1:14855152-14856046	-	-	0.22601	0	0.486984	OK
ENSMUSG00000025911	-	-	ENSMUSG00000025911	Adhfe1	-	chr1:9538028-9568051	-	-	16.1796	14.5386	17.8206	OK
ENSMUSG00000067879	-	-	ENSMUSG00000067879	3110035E14Rik	-	chr1:9591279-9617224	-	-	0.163599	0.0486333	0.278564	OK
ENSMUSG00000079671	-	-	ENSMUSG00000079671	2610203C22Rik	-	chr1:9550912-9621256	-	-	2.59498	1.65335	3.53661	OK
ENSMUSG00000081441	-	-	ENSMUSG00000081441	Gm6161	-	chr1:9564628-9565730	-	-	0.0505576	0	0.243446	OK
ENSMUSG00000077377	-	-	ENSMUSG00000077377	SNORA17	-	chr1:15747912-15748044	-	-	0	0	0	OK
ENSMUSG00000032769	-	-	ENSMUSG00000032769	Trpa1	-	chr1:14862728-14908943	-	-	0.10692	0.026096	0.187743	OK
ENSMUSG00000073737	-	-	ENSMUSG00000073737	Gm10566	-	chr1:15258879-15259878	-	-	0.241721	0	0.483558	OK
ENSMUSG00000025925	-	-	ENSMUSG00000025925	Terf1	-	chr1:15795738-15833551	-	-	4.14234	3.35787	4.92682	OK
ENSMUSG00000032719	-	-	ENSMUSG00000032719	Gm106	-	chr1:15843942-15882803	-	-	0.203896	0.0497651	0.358027	OK
ENSMUSG00000088943	-	-	ENSMUSG00000088943	7SK	-	chr1:15869610-15869913	-	-	0	0	0	OK
ENSMUSG00000067795	-	-	ENSMUSG00000067795	4930444P10Rik	-	chr1:16056059-16083406	-	-	0.0934622	0	0.317934	OK
ENSMUSG00000045210	-	-	ENSMUSG00000045210	Vcpip1	-	chr1:9708702-9738463	-	-	4.52545	4.09271	4.95819	OK
ENSMUSG00000085661	-	-	ENSMUSG00000085661	1700034P13Rik	-	chr1:9737728-9782003	-	-	2.43756	1.84065	3.03447	OK
ENSMUSG00000048960	-	-	ENSMUSG00000048960	Prex2	-	chr1:10983545-11293763	-	-	2.53152	2.27837	2.78468	OK
ENSMUSG00000077318	-	-	ENSMUSG00000077318	SNORA40	-	chr1:11124191-11124319	-	-	0	0	0	OK
ENSMUSG00000079658	-	-	ENSMUSG00000079658	Tceb1	-	chr1:16632846-16646946	-	-	64.9716	59.8336	70.1095	OK
ENSMUSG00000025932	-	-	ENSMUSG00000025932	Eya1	-	chr1:14159034-14300281	-	-	0.253482	0.099254	0.40771	OK
ENSMUSG00000093057	-	-	ENSMUSG00000093057	AC156988.1	-	chr1:14172658-14172758	-	-	0	0	0	OK
ENSMUSG00000025912	-	-	ENSMUSG00000025912	Mybl1	-	chr1:9657495-9690290	-	-	1.02399	0.506303	1.54168	OK
ENSMUSG00000025779	-	-	ENSMUSG00000025779	Ly96	-	chr1:16678536-16699686	-	-	2.53592	1.26796	3.80388	OK
ENSMUSG00000087414	-	-	ENSMUSG00000087414	Gm16720	-	chr1:16647632-16652359	-	-	0.0808461	0	0.174199	OK
ENSMUSG00000025939	-	-	ENSMUSG00000025939	Ube2w	-	chr1:16559862-16609570	-	-	17.678	15.5087	19.8473	OK
ENSMUSG00000025921	-	-	ENSMUSG00000025921	Rdh10	-	chr1:16095854-16123815	-	-	4.71413	3.94766	5.4806	OK
ENSMUSG00000042686	-	-	ENSMUSG00000042686	Jph1	-	chr1:16987544-17087879	-	-	3.70899	3.11123	4.30675	OK
ENSMUSG00000089534	-	-	ENSMUSG00000089534	SNORA17	-	chr1:17510081-17510192	-	-	0	0	0	OK
ENSMUSG00000091020	-	-	ENSMUSG00000091020	Gm5828	-	chr1:16757094-16760241	-	-	0.561099	0.352712	0.769486	OK
ENSMUSG00000025774	-	-	ENSMUSG00000025774	Crisp4	-	chr1:18105271-18135983	-	-	0	0	0	OK
ENSMUSG00000070977	-	-	ENSMUSG00000070977	Defb44-ps	-	chr1:18200133-18213645	-	-	0	0	0	OK
ENSMUSG00000073735	-	-	ENSMUSG00000073735	Defb18	-	chr1:18226553-18227524	-	-	0	0	0	OK
ENSMUSG00000067773	-	-	ENSMUSG00000067773	Defb41	-	chr1:18241060-18255219	-	-	0	0	0	OK
ENSMUSG00000089923	-	-	ENSMUSG00000089923	Gm15386	-	chr1:18250604-18255161	-	-	0	0	0	OK
ENSMUSG00000025940	-	-	ENSMUSG00000025940	Tmem70	-	chr1:16655287-16668356	-	-	42.5429	39.1621	45.9237	OK
ENSMUSG00000088800	-	-	ENSMUSG00000088800	SNORA17	-	chr1:18959842-18959914	-	-	0	0	0	OK
ENSMUSG00000067851	-	-	ENSMUSG00000067851	Arfgef1	-	chr1:10127651-10222751	-	-	13.8223	12.3642	15.2804	OK
ENSMUSG00000088153	-	-	ENSMUSG00000088153	7SK	-	chr1:10156619-10156859	-	-	0	0	0	OK
ENSMUSG00000084668	-	-	ENSMUSG00000084668	SNORD29	-	chr1:19503935-19504000	-	-	0	0	0	OK
ENSMUSG00000080585	-	-	ENSMUSG00000080585	AC163028.1	-	chr1:19911390-19911480	-	-	0	0	0	OK
ENSMUSG00000025777	-	-	ENSMUSG00000025777	Gdap1	-	chr1:17135442-17154352	-	-	0.0518098	0	0.140497	OK
ENSMUSG00000065559	-	-	ENSMUSG00000065559	Mir206	-	chr1:20669090-20669163	-	-	0	0	0	OK
ENSMUSG00000065480	-	-	ENSMUSG00000065480	Mir133b	-	chr1:20672849-20672968	-	-	0	0	0	OK
ENSMUSG00000043760	-	-	ENSMUSG00000043760	Pkhd1	-	chr1:20047859-20608145	-	-	0	0	0	OK
ENSMUSG00000089914	-	-	ENSMUSG00000089914	4930486I03Rik	-	chr1:20371173-20382381	-	-	0	0	0	OK
ENSMUSG00000090142	-	-	ENSMUSG00000090142	Gm15795	-	chr1:20434338-20434641	-	-	0	0	0	OK
ENSMUSG00000070175	-	-	ENSMUSG00000070175	U6	-	chr1:20434891-20434993	-	-	0	0	0	OK
ENSMUSG00000025929	-	-	ENSMUSG00000025929	Il17a	-	chr1:20720985-20724577	-	-	0	0	0	OK
ENSMUSG00000041872	-	-	ENSMUSG00000041872	Il17f	-	chr1:20767231-20774351	-	-	0	0	0	OK
ENSMUSG00000088858	-	-	ENSMUSG00000088858	SNORA17	-	chr1:20832615-20832747	-	-	0	0	0	OK
ENSMUSG00000087078	-	-	ENSMUSG00000087078	6720483E21Rik	-	chr1:20878730-20880554	-	-	0.0645344	0	0.193603	OK
ENSMUSG00000089787	-	-	ENSMUSG00000089787	Gm15825	-	chr1:19053379-19094921	-	-	0	0	0	OK
ENSMUSG00000042596	-	-	ENSMUSG00000042596	Tfap2d	-	chr1:19093102-19156427	-	-	0	0	0	OK
ENSMUSG00000060128	-	-	ENSMUSG00000060128	Gm10075	-	chr1:19143390-19144047	-	-	25.5042	22.4783	28.5302	OK
ENSMUSG00000092083	-	-	ENSMUSG00000092083	Kcnb2	-	chr1:15277339-15704376	-	-	0.0232627	0	0.103074	OK
ENSMUSG00000090498	-	-	ENSMUSG00000090498	Kcnb2	-	chr1:15702383-15706448	-	-	0.0216052	0	0.084326	OK
ENSMUSG00000088829	-	-	ENSMUSG00000088829	SNORA17	-	chr1:15676015-15676127	-	-	0	0	0	OK
ENSMUSG00000041859	-	-	ENSMUSG00000041859	Mcm3	-	chr1:20793054-20810359	-	-	13.8998	12.9423	14.8572	OK
ENSMUSG00000025903	-	-	ENSMUSG00000025903	Lypla1	-	chr1:4797868-4876851	-	-	58.5963	54.4586	62.734	OK
ENSMUSG00000033813	-	-	ENSMUSG00000033813	Tcea1	-	chr1:4847774-4887987	-	-	24.4985	22.5817	26.4154	OK
ENSMUSG00000062588	-	-	ENSMUSG00000062588	Gm6104	-	chr1:4869282-4870750	-	-	8.90014	7.71973	10.0806	OK
ENSMUSG00000041809	-	-	ENSMUSG00000041809	Efhc1	-	chr1:20941706-20980919	-	-	0.37284	0	1.01094	OK
ENSMUSG00000046847	-	-	ENSMUSG00000046847	Gm7094	-	chr1:21262483-21262990	-	-	0	0	0	OK
ENSMUSG00000025936	-	-	ENSMUSG00000025936	Gm4956	-	chr1:21275326-21288393	-	-	0	0	0	OK
ENSMUSG00000025933	-	-	ENSMUSG00000025933	Tmem14a	-	chr1:21208655-21220248	-	-	4.03756	2.92964	5.14548	OK
ENSMUSG00000067750	-	-	ENSMUSG00000067750	Khdc1a	-	chr1:21339721-21342281	-	-	0	0	0	OK
ENSMUSG00000086194	-	-	ENSMUSG00000086194	Gm16329	-	chr1:21344085-21345197	-	-	0	0	0	OK
ENSMUSG00000087453	-	-	ENSMUSG00000087453	Gm16327	-	chr1:21354883-21355111	-	-	0	0	0	OK
ENSMUSG00000085507	-	-	ENSMUSG00000085507	Gm2709	-	chr1:21362750-21363845	-	-	0	0	0	OK
ENSMUSG00000025934	-	-	ENSMUSG00000025934	Gsta3	-	chr1:21230669-21255442	-	-	0.515778	0.0681443	0.963411	OK
ENSMUSG00000087427	-	-	ENSMUSG00000087427	Gm16533	-	chr1:21369635-21369863	-	-	0	0	0	OK
ENSMUSG00000067780	-	-	ENSMUSG00000067780	Pi15	-	chr1:17591981-17621019	-	-	2.41018	2.03298	2.78738	OK
ENSMUSG00000085079	-	-	ENSMUSG00000085079	Khdc1b	-	chr1:21373636-21376465	-	-	0	0	0	OK
ENSMUSG00000085679	-	-	ENSMUSG00000085679	Gm16328	-	chr1:21380986-21381182	-	-	0	0	0	OK
ENSMUSG00000041722	-	-	ENSMUSG00000041722	Khdc1c	-	chr1:21358411-21360926	-	-	0.0362741	0	0.108822	OK
ENSMUSG00000089553	-	-	ENSMUSG00000089553	SNORA17	-	chr1:23252049-23252170	-	-	0	0	0	OK
ENSMUSG00000073729	-	-	ENSMUSG00000073729	Gm6420	-	chr1:23262825-23263245	-	-	0	0	0	OK
ENSMUSG00000065405	-	-	ENSMUSG00000065405	Mir30a	-	chr1:23279107-23279178	-	-	0	0	0	OK
ENSMUSG00000073730	-	-	ENSMUSG00000073730	4933415F23Rik	-	chr1:23107311-23109092	-	-	0	0	0	OK
ENSMUSG00000065567	-	-	ENSMUSG00000065567	Mir30c-2	-	chr1:23298539-23298623	-	-	0	0	0	OK
ENSMUSG00000025915	-	-	ENSMUSG00000025915	Sgk3	-	chr1:9788210-9892637	-	-	6.99231	6.13743	7.8472	OK
ENSMUSG00000046334	-	-	ENSMUSG00000046334	Gm6195	-	chr1:9792274-9792634	-	-	2.22371	0.741237	3.70618	OK
ENSMUSG00000088916	-	-	ENSMUSG00000088916	U6	-	chr1:9824578-9824683	-	-	0	0	0	OK
ENSMUSG00000026154	-	-	ENSMUSG00000026154	1110058L19Rik	-	chr1:24002777-24012495	-	-	27.4564	23.7991	31.1136	OK
ENSMUSG00000043716	-	-	ENSMUSG00000043716	Rpl7	-	chr1:16091375-16094743	-	-	261.018	247.984	274.052	OK
ENSMUSG00000041779	-	-	ENSMUSG00000041779	Tram2	-	chr1:20986376-21069310	-	-	4.06204	3.64133	4.48276	OK
ENSMUSG00000026158	-	-	ENSMUSG00000026158	Ogfrl1	-	chr1:23373262-23390014	-	-	5.43036	4.85265	6.00806	OK
ENSMUSG00000056763	-	-	ENSMUSG00000056763	Cspp1	-	chr1:10028298-10126849	-	-	5.89895	4.21117	7.58673	OK
ENSMUSG00000025927	-	-	ENSMUSG00000025927	Tfap2b	-	chr1:19198994-19228815	-	-	0	0	0	OK
ENSMUSG00000085125	-	-	ENSMUSG00000085125	Gm16070	-	chr1:17666107-17717727	-	-	0.0773028	0	0.233478	OK
ENSMUSG00000025776	-	-	ENSMUSG00000025776	Crispld1	-	chr1:17717125-17756425	-	-	0.403035	0.171542	0.634528	OK
ENSMUSG00000025931	-	-	ENSMUSG00000025931	Paqr8	-	chr1:20880690-20929632	-	-	1.43447	1.10799	1.76095	OK
ENSMUSG00000077314	-	-	ENSMUSG00000077314	SNORA17	-	chr1:20905490-20905621	-	-	0	0	0	OK
ENSMUSG00000067736	-	-	ENSMUSG00000067736	Gm10222	-	chr1:24619242-24619539	-	-	3.84446	0.705472	6.98346	OK
ENSMUSG00000057715	-	-	ENSMUSG00000057715	A830018L16Rik	-	chr1:11404185-11965982	-	-	0.433363	0.0178679	0.848858	OK
ENSMUSG00000026147	-	-	ENSMUSG00000026147	Col9a1	-	chr1:24184448-24259577	-	-	0.104995	0	0.311197	OK
ENSMUSG00000026156	-	-	ENSMUSG00000026156	B3gat2	-	chr1:23768591-23855997	-	-	0.244255	0.0913619	0.397149	OK
ENSMUSG00000026155	-	-	ENSMUSG00000026155	Smap1	-	chr1:23851684-23929156	-	-	20.2316	17.758	22.7052	OK
ENSMUSG00000026153	-	-	ENSMUSG00000026153	Fam135a	-	chr1:24017596-24107180	-	-	9.28996	8.52077	10.0591	OK
ENSMUSG00000026141	-	-	ENSMUSG00000026141	Col19a1	-	chr1:24268728-24594311	-	-	0.0724176	0.0102574	0.134578	OK
ENSMUSG00000077463	-	-	ENSMUSG00000077463	SNORA64	-	chr1:24555679-24555816	-	-	0	0	0	OK
ENSMUSG00000025938	-	-	ENSMUSG00000025938	Slco5a1	-	chr1:12856629-12981258	-	-	0.551488	0.201942	0.901034	OK
ENSMUSG00000052558	-	-	ENSMUSG00000052558	Gm9884	-	chr1:25887501-25888723	-	-	0	0	0	OK
ENSMUSG00000088111	-	-	ENSMUSG00000088111	SNORA17	-	chr1:26623677-26623783	-	-	0	0	0	OK
ENSMUSG00000065125	-	-	ENSMUSG00000065125	n-R5s209	-	chr1:27015947-27016066	-	-	0	0	0	OK
ENSMUSG00000079640	-	-	ENSMUSG00000079640	Gm11161	-	chr1:27099345-27286771	-	-	122.456	0	295.878	OK
ENSMUSG00000073722	-	-	ENSMUSG00000073722	4931408C20Rik	-	chr1:26738658-26744305	-	-	0	0	0	OK
ENSMUSG00000048411	-	-	ENSMUSG00000048411	Gm597	-	chr1:28832988-28837097	-	-	0	0	0	OK
ENSMUSG00000086240	-	-	ENSMUSG00000086240	Gm7846	-	chr1:28637342-28637618	-	-	0	0	0	OK
ENSMUSG00000058590	-	-	ENSMUSG00000058590	Gm6462	-	chr1:28994879-28995185	-	-	0	0	0	OK
ENSMUSG00000090766	-	-	ENSMUSG00000090766	Gm17684	-	chr1:28912032-28912718	-	-	25.5622	18.5242	32.6002	OK
ENSMUSG00000064433	-	-	ENSMUSG00000064433	Y_RNA	-	chr1:29337808-29337920	-	-	0	0	0	OK
ENSMUSG00000080391	-	-	ENSMUSG00000080391	AC163659.1	-	chr1:29418119-29418215	-	-	0	0	0	OK
ENSMUSG00000093777	-	-	ENSMUSG00000093777	AC130205.1	-	chr1:29341451-29341520	-	-	0	0	0	OK
ENSMUSG00000080625	-	-	ENSMUSG00000080625	AC163659.2	-	chr1:29358324-29358424	-	-	0	0	0	OK
ENSMUSG00000053185	-	-	ENSMUSG00000053185	Gm9898	-	chr1:30775398-30776806	-	-	0	0	0	OK
ENSMUSG00000077073	-	-	ENSMUSG00000077073	AC126798.1	-	chr1:30042778-30042888	-	-	0	0	0	OK
ENSMUSG00000081557	-	-	ENSMUSG00000081557	Gm5697	-	chr1:28857082-28859566	-	-	0.0635562	0	0.136944	OK
ENSMUSG00000086726	-	-	ENSMUSG00000086726	Gm9458	-	chr1:31043069-31043798	-	-	0	0	0	OK
ENSMUSG00000026063	-	-	ENSMUSG00000026063	4930521A18Rik	-	chr1:31279683-31281132	-	-	0	0	0	OK
ENSMUSG00000077664	-	-	ENSMUSG00000077664	SNORA17	-	chr1:31316437-31316564	-	-	0	0	0	OK
ENSMUSG00000086151	-	-	ENSMUSG00000086151	Gm5698	-	chr1:31033794-31035810	-	-	0	0	0	OK
ENSMUSG00000088620	-	-	ENSMUSG00000088620	U6	-	chr1:31713476-31713583	-	-	0	0	0	OK
ENSMUSG00000087346	-	-	ENSMUSG00000087346	Gm5699	-	chr1:31054711-31056750	-	-	0.0385345	0	0.115603	OK
ENSMUSG00000070960	-	-	ENSMUSG00000070960	Gm10307	-	chr1:31672835-31673507	-	-	1.98833	1.09912	2.87753	OK
ENSMUSG00000082159	-	-	ENSMUSG00000082159	Gm7910	-	chr1:31792900-31793737	-	-	0	0	0	OK
ENSMUSG00000089395	-	-	ENSMUSG00000089395	7SK	-	chr1:32783483-32783775	-	-	0	0	0	OK
ENSMUSG00000088750	-	-	ENSMUSG00000088750	U6	-	chr1:33248837-33248947	-	-	0	0	0	OK
ENSMUSG00000065223	-	-	ENSMUSG00000065223	U6	-	chr1:33350520-33350620	-	-	0	0	0	OK
ENSMUSG00000065260	-	-	ENSMUSG00000065260	U6	-	chr1:33479577-33479683	-	-	0	0	0	OK
ENSMUSG00000044744	-	-	ENSMUSG00000044744	1700001G17Rik	-	chr1:33726687-33727557	-	-	0.338085	0	0.676334	OK
ENSMUSG00000086727	-	-	ENSMUSG00000086727	4931428L18Rik	-	chr1:31197922-31279506	-	-	0.14546	0	0.430855	OK
ENSMUSG00000050217	-	-	ENSMUSG00000050217	Lgsn	-	chr1:31233250-31261501	-	-	0.102123	0	0.397053	OK
ENSMUSG00000073725	-	-	ENSMUSG00000073725	Lmbrd1	-	chr1:24685382-24823144	-	-	8.14772	7.45516	8.84027	OK
ENSMUSG00000026134	-	-	ENSMUSG00000026134	Prim2	-	chr1:33510655-33726631	-	-	4.2659	3.49785	5.03394	OK
ENSMUSG00000042215	-	-	ENSMUSG00000042215	Bag2	-	chr1:33802328-33814639	-	-	26.0685	23.9601	28.1768	OK
ENSMUSG00000026058	-	-	ENSMUSG00000026058	Khdrbs2	-	chr1:32229650-32714583	-	-	0	0	0	OK
ENSMUSG00000064688	-	-	ENSMUSG00000064688	U6	-	chr1:32269977-32270084	-	-	0	0	0	OK
ENSMUSG00000049830	-	-	ENSMUSG00000049830	Gm9839	-	chr1:32576407-32577844	-	-	0	0	0	OK
ENSMUSG00000091318	-	-	ENSMUSG00000091318	Gm5415	-	chr1:32600390-32604138	-	-	0.0177613	0	0.0532839	OK
ENSMUSG00000089489	-	-	ENSMUSG00000089489	U7	-	chr1:32625203-32625266	-	-	0	0	0	OK
ENSMUSG00000033569	-	-	ENSMUSG00000033569	Bai3	-	chr1:25124320-25886552	-	-	0.0110099	0	0.353847	OK
ENSMUSG00000080849	-	-	ENSMUSG00000080849	Gm15702	-	chr1:25280574-25281018	-	-	0	0	0	OK
ENSMUSG00000064910	-	-	ENSMUSG00000064910	U6	-	chr1:25336289-25336396	-	-	0	0	0	OK
ENSMUSG00000084740	-	-	ENSMUSG00000084740	U6	-	chr1:25507915-25508019	-	-	0	0	0	OK
ENSMUSG00000081402	-	-	ENSMUSG00000081402	Gm15455	-	chr1:33892743-33895759	-	-	0.661133	0.437217	0.885049	OK
ENSMUSG00000041670	-	-	ENSMUSG00000041670	Rims1	-	chr1:22276331-22911673	-	-	0.0839397	0	0.533031	OK
ENSMUSG00000092852	-	-	ENSMUSG00000092852	Mir5103	-	chr1:34489965-34490044	-	-	0	0	0	OK
ENSMUSG00000079617	-	-	ENSMUSG00000079617	Gm11158	-	chr1:34428990-34460294	-	-	0	0	0	OK
ENSMUSG00000042111	-	-	ENSMUSG00000042111	Ccdc115	-	chr1:34493515-34496517	-	-	11.3365	10.0697	12.6032	OK
ENSMUSG00000026125	-	-	ENSMUSG00000026125	Prss39	-	chr1:34555274-34559907	-	-	0	0	0	OK
ENSMUSG00000026124	-	-	ENSMUSG00000026124	Cfc1	-	chr1:34592492-34601156	-	-	0.0634675	0	0.244081	OK
ENSMUSG00000037529	-	-	ENSMUSG00000037529	Prss40	-	chr1:34600819-34617788	-	-	0	0	0	OK
ENSMUSG00000045815	-	-	ENSMUSG00000045815	1700101I19Rik	-	chr1:34636068-34636458	-	-	0	0	0	OK
ENSMUSG00000045174	-	-	ENSMUSG00000045174	Fam123c	-	chr1:34636537-34647783	-	-	0	0	0	OK
ENSMUSG00000026126	-	-	ENSMUSG00000026126	Ptpn18	-	chr1:34516590-34532499	-	-	1.23864	0.80612	1.67116	OK
